ID,externalID
18770,IA_PLC0041_10_202107031_010
18771,IA_PLC0041_10_202107031_011
18772,IA_PLC0041_10_202107031_012
18773,IA_PLC0041_10_202107031_013
18774,IA_PLC0041_10_202107031_014
18775,IA_PLC0041_10_202107031_015
18570,IA_PLC0041_10_202107031_016
18776,IA_PLC0041_10_202107031_017
18777,IA_PLC0041_10_202107031_018
18778,IA_PLC0041_10_202107031_019
18779,IA_PLC0041_10_202107031_020
18780,IA_PLC0041_10_202107031_021
18781,IA_PLC0041_10_202107031_022
18782,IA_PLC0041_10_202107031_023
18783,IA_PLC0041_10_202107031_024
18870,
18784,IA_PLC0054_10_202107031_010
18785,IA_PLC0054_10_202107031_011
18786,IA_PLC0054_10_202107031_012
18787,IA_PLC0054_10_202107031_013
18788,IA_PLC0054_10_202107031_014
18789,IA_PLC0054_10_202107031_015
18790,IA_PLC0054_10_202107031_016
18791,IA_PLC0054_10_202107031_017
18792,IA_PLC0054_10_202107031_018
18793,IA_PLC0054_10_202107031_019
18794,IA_PLC0054_10_202107031_020
18795,IA_PLC0054_10_202107031_021
18796,IA_PLC0054_10_202107031_022
18797,IA_PLC0054_10_202107031_023
18798,IA_PLC0054_10_202107031_024
18799,IA_PLC0054_10_202107031_025
18800,IA_PLC0054_10_202107031_026
18801,IA_PLC0054_10_202107031_027
18802,IA_PLC0054_10_202107031_028
18803,IA_PLC0054_10_202107031_029
18804,IA_PLC0054_10_202107031_030
18805,IA_PLC0054_10_202107031_031
18806,IA_PLC0054_10_202107031_032
18807,IA_PLC0054_10_202107031_033
18808,IA_PLC0054_10_202107031_034
18809,IA_PLC0054_10_202107031_035
18810,IA_PLC0054_10_202107031_036
18811,IA_PLC0054_10_202107031_037
18812,IA_PLC0054_10_202107031_038
18813,IA_PLC0054_10_202107031_039
18814,IA_PLC0054_10_202107031_040
18670,IA_PLC0062_10_202107031_031
18871,